player,team,str
Grant Reiman,Eastern Illinois University,-4.286
Robert Jenkins,Appalachian State University,-4.288
Jake Mostyn-Kolb,Wagner College,-4.299
Garry Amor,Alcorn State University,-4.308
Kevin Gates,Saint Joseph's University,-4.324
Cameron Amyot,Fairfield University,-4.325
Erick Ward,Morgan State University,-4.339
Carlos De La Cruz,St. Bonaventure University,-4.342
Christian Gonzalez,Chicago State University,-4.353
Plamen Avuski,St. Francis Univ. (Pennsylvania),-4.382
Brett Cabon,North Carolina A&T State University,-4.396
Ulrick Boyoguena,Prairie View A&M University,-4.405
Nischay Rawal,Alcorn State University,-4.409
Colin Wong,University of Delaware,-4.410
Joshua Palmer,University of Connecticut,-4.441
Reginald Robinson,Coppin State College,-4.444
Dreshaun Jarmon,North Carolina A&T State University,-4.455
Thomas Persico,North Carolina Central University,-4.458
Andrew Dottino,Georgetown University,-4.468
Joseph Journey,Univ. of Maryland Eastern Shore,-4.473
Michael Cha,Univ. of Maryland Eastern Shore,-4.475
Ondre Cargill,Temple University,-4.475
Francis Nadeau,Niagara University,-4.485
Tom Haile,Colgate University,-4.486
Leonardo Vieira,Univ. of Arkansas Pine Bluff,-4.491
Karan Narula,Sacred Heart University,-4.493
Joe Smithyman,Niagara University,-4.507
Gary Notkin,South Dakota State,-4.508
Diego Lebron,Siena College,-4.510
Aaron Madaris,Wright State University,-4.510
David Bush,Liberty University,-4.517
Miguel Flores,Saint Louis University,-4.524
Kevin Devine,Hofstra University,-4.525
Yehia El Sallaly,Saint Louis University,-4.540
David Hess,Murray State University,-4.542
Paarth Dodhiawala,Saint Louis University,-4.543
Alex Sweet,University of Delaware,-4.544
Joakim Pinola,University of Hawaii,-4.545
Diego Venegas,Wright State University,-4.546
Sean Frebes,Holy Cross,-4.547
Jared Vigen,Univ. of North Dakota,-4.558
Fedor Shirin,Hampton University,-4.567
Jacob Mishkin,St. Bonaventure University,-4.580
Louis Tonon,Mount St. Mary's University,-4.582
Darren Reisch,Siena College,-4.590
Sergio Carvajal,St. Francis Univ. (Pennsylvania),-4.600
Valentin Horvat,Georgia State University,-4.606
Rohan Wattley,Chicago State University,-4.614
Alex Bosch,St. Francis College (New York),-4.617
Marc Adams,St. Francis College (New York),-4.617
Will True,Murray State University,-4.622
Vishu Prasad,Jackson State University,-4.643
Luis Ulloa,Chicago State University,-4.647
Lakshamana Satchihananthan,Hampton University,-4.648
Alex Killam,Norfolk State University,-4.650
A. Wade,Alabama A&M University,-4.651
Sam Jankovich,University of Idaho,-4.662
Oliver Poysti,UAB,-4.688
Ian Clare,Seattle University,-4.703
Federico Mendletta,Jackson State University,-4.713
Morgan White,University of Hartford,-4.717
Max Kane,Bucknell University,-4.728
Allen Wang,Wagner College,-4.734
Alvaro Santamaria,Oral Roberts University,-4.734
No Player,Howard University,-4.737
Austin Miller,Idaho State University,-4.745
Alexander Reed,Siena College,-4.783
Harold Fowler,Univ. of Maryland Eastern Shore,-4.797
Ryan Miller,Presbyterian College,-4.803
Gavin Studner,Lafayette College,-4.818
Ryan Templet,The Citadel,-4.819
Kiran Mani,Fairleigh Dickinson University,-4.821
Daniel Bernal,Tennessee State University,-4.841
Ben Teicher,Quinnipiac University,-4.848
Pat O`Shea,Holy Cross,-4.861
Dale Fetterman,La Salle University,-4.863
Henrik Munch,Rice University,-4.881
Vihar Shah,Binghamton University,-4.881
Freddy Quintero,Prairie View A&M University,-4.889
Jorge Rodriguez,St. Peter's University,-4.890
Adam Levi,Rider University,-4.898
M Suarez,Hampton University,-4.918
James McQueen,Hampton University,-4.920
Zac McEntee,University of Connecticut,-4.922
Rosen Ilchev,Longwood University,-4.925
John Wilson IV,North Carolina A&T State University,-4.947
Brian Stefanowicz,Lafayette College,-4.980
Lachlan Manser,Longwood University,-4.980
Rory Samuels,Illinois State University,-5.011
Erik Anderson,"Nebraska, Omaha",-5.032
Digvijay Naruka,Alabama State University,-5.071
Jared Woodson,Eastern Illinois University,-5.073
Lucas Whaley,St. Peter's University,-5.074
Agaazi Berhane,Rider University,-5.100
Lucas Dages,Purdue University,-5.108
Alex Castro,Loyola College (Maryland),-5.108
Alex Berdnikoff,James Madison University,-5.109
A. Butler,Univ. of Arkansas Pine Bluff,-5.110
Peter Colliard,Fairfield University,-5.117
Tyler Flematti,University of Delaware,-5.130
Kilian Salgado,Alcorn State University,-5.140
Peter Odeghami,Hampton University,-5.158
Matt Bouggy,Purdue University,-5.163
David Ogon,Coppin State College,-5.173
Othen Lima,Tennessee Tech University,-5.175
Laguna Foster,Howard University,-5.181
Josh Goodwin,Idaho State University,-5.209
Lucas Krusinski,Morgan State University,-5.217
Grant Maddox,Tennessee State University,-5.233
Marc Sodini,Wright State University,-5.327
Trent Reiman,Eastern Illinois University,-5.333
Andre Buchanan-Dempsey,Univ. of Incarnate Word,-5.346
Edwin Kanu,Univ. of Maryland Eastern Shore,-5.347
Alex Romaine,University of Hartford,-5.361
Fabrice George,North Carolina Central University,-5.389
Joe Diorio,Siena College,-5.391
Nicholas Brobst,Univ. of Maryland Eastern Shore,-5.399
Devin James,Coppin State College,-5.399
Abdullah Abdulmohsen,Bryant University,-5.399
D. Johnson,Alabama A&M University,-5.406
Anirudh Yadav,Prairie View A&M University,-5.435
Joseph Kavalovski,Fordham University,-5.436
Matthew Begley,Rider University,-5.486
M. Monray,Alabama A&M University,-5.488
Nathan Greteman,"Nebraska, Omaha",-5.529
Oliver Dedding,The Citadel,-5.535
Julian Chavez,Chicago State University,-5.541
Joe Daniels,Tennessee State University,-5.549
Mason Bourbon,Wright State University,-5.601
Geoff Tulloch,Belmont University,-5.606
Mark Robinson,La Salle University,-5.609
David Constantinescu,Eastern Illinois University,-5.623
Joshua Bailey,North Carolina A&T State University,-5.637
Simon Danyluk,Univ. of North Dakota,-5.662
Jonathan Dingle,Prairie View A&M University,-5.662
Manuel Belda,University of South Alabama,-5.672
Matt Renzi,University of Delaware,-5.688
Bassem El Makawi,Youngstown State University,-5.695
Harris Durkovic,Fordham University,-5.723
Sebastian Barbero,Quinnipiac University,-5.734
Oliver Bellomi,St. Peter's University,-5.750
Patrick Thomas,Coppin State College,-5.757
Myron Davis,Howard University,-5.783
Rich DeGregoris,Holy Cross,-5.822
Dylan Karchere-Sun,Lehigh University,-5.827
Bharani Sankar,Longwood University,-5.873
Jackson Pride,The Citadel,-5.884
Jeremy Van Herwarde,Rider University,-5.906
Ernesto Arguello,Bryant University,-5.915
Lukas Vanzura,"Nebraska, Omaha",-5.915
Jorge Del Rey Rojas,St. Peter's University,-5.920
Jason Ulacio,Florida A&M University,-5.921
Chan Ton Phan,Rider University,-5.935
Darren Mast,Mount St. Mary's University,-5.937
Jualon Greig,Univ. of Arkansas Pine Bluff,-5.950
Thomas MacLeod,La Salle University,-5.989
Anjan Kashyab,Murray State University,-6.011
Daryl Hale,Tennessee State University,-6.015
William Jay,Morgan State University,-6.016
Jordan Dingle,Alabama A&M University,-6.033
Stefan Vojnic,Alabama State University,-6.057
Kyle Scott,North Carolina A&T State University,-6.059
Edward Butler,Univ. of Arkansas Pine Bluff,-6.061
Richie Agarwal,Jackson State University,-6.111
Ignace Warson,"Nebraska, Omaha",-6.115
Keiston France,North Carolina A&T State University,-6.134
Andrew Proto,St. Francis College (New York),-6.137
Sagar Sathyanarayaman,Morgan State University,-6.172
Dan Sablik,Elon University,-6.177
Alex Burbine,Siena College,-6.192
Jimmy Ye,Holy Cross,-6.213
Connor Grady,The Citadel,-6.222
Gregoire Balenci,Grand Canyon University,-6.248
Nico Sorrell,Howard University,-6.251
Aldred Carroll,Univ. of Arkansas Pine Bluff,-6.258
Sacha Singh,St. Francis College (New York),-6.263
Alessandro Saglia,Siena College,-6.309
Jorge Rodriguez,St. Peter's University,-6.387
Marco Paulo Castro,South Dakota State,-6.414
Alberto Sanz-Fernandez,University of Idaho,-6.449
Matt Funiciello,Siena College,-6.495
A. Carroll,Univ. of Arkansas Pine Bluff,-6.499
Andrew Ginzberg,University of Connecticut,-6.600
Sebastian Rojas,St. Peter's University,-6.609
Anthony Timberlake,Western Illinois University,-6.715
Rashley Yeremia,Chicago State University,-6.743
Zach Wilder,University of Mississippi,-6.747
Miguel Martin,Jackson State University,-6.748
Hernan Geria,Jackson State University,-6.820
M. Winroy,Alabama A&M University,-6.857
Evan Borowski,Austin Peay State University,-6.858
Steve Murray,Rider University,-6.871
Joey Brander,Fordham University,-6.912
No Player,Tennessee State University,-6.974
Chris Bunch,Western Illinois University,-6.995
Hawkins Owens,Howard University,-7.016
Spencer Nielsen,Southern Utah University,-7.018
Stuart Macleod,Hofstra University,-7.114
Joe Bove,The Citadel,-7.124
John Ellis,"Nebraska, Omaha",-7.189
Aleks Mitric,Murray State University,-7.361
Jonathan Paredes,St. Peter's University,-7.513
Milos Vukicevic,St. Francis College (New York),-7.566
Surya Sawhney,Western Illinois University,-7.656
Jamal Hoyte,North Carolina Central University,-7.797
Shaheed Mourillon,Norfolk State University,-8.039
Jacob Sanders,Western Illinois University,-8.185
Ryan Templet,The Citadel,-8.322
Srdjan Troscic,Murray State University,-8.584
Ross Smith,Western Illinois University,-8.619
