rk,player,team,str
485,Dorothy Tang,Princeton University,16.27
486,Mayu Sato,IPFW,16.26
487,Carolina Costamagna,Kansas State,15.85
488,Yvonne Hubler,Charleston Southern University,15.75
489,Tanya Stojanovska,University at Buffalo,15.70
490,Sarah Jurakova,McNeese State University,15.66
491,Kylie Isaacs,Duquesne University,15.62
492,Magdalena Stencel,Univ. of Wyoming,15.57
493,Marie Klocker,San Jose State University,15.55
494,Polina Movchan,Stony Brook University,15.54
495,Andrea Ivanovic,Lamar University,15.53
496,Iveta Masarova,University of the Pacific (California),15.50
497,Beatriz Machado Santos,"Univ. of Missouri, Columbia",15.49
498,Maria Cardenas,University of Houston,15.42
499,Klaudia Gawlik,McNeese State University,15.41
500,Alexandra Aiello,University of Colorado,15.40
501,Alanna Wolff,Princeton University,15.34
502,Isabel Von Stryk,"University of South Carolina, Upstate",15.23
503,Nicole Long,University of Oregon,15.20
504,Alyssa Ritchie,UNC Wilmington,15.18
505,Pippa Horn,University of Texas at Austin,15.16
506,Mina Markovic,University of Houston,14.99
507,Vaszilisza Bulgakova,SMU,14.90
508,Luisa Fernandez,Wake Forest University,14.79
509,Emily Olivier,University of New Mexico,14.78
510,Andreea Badileanu,Miami University (Ohio),14.75
511,Madie Baillon,University of Illinois,14.69
512,Kristin Rehse,Georgia State University,14.58
513,Maddie Johnson,Drake University,14.51
514,Yana Erkeeva,SMU,14.44
515,Guilia Squadrin,Middle Tennessee State University,14.43
516,Akiko Okuda,Dartmouth College,14.29
517,Alyssa Smith,Duke University,14.27
518,Nerma Caluk,Florida International University (FIU),14.26
519,Nicole Robinson,Purdue University,14.24
520,Xue Zhang,Wake Forest University,14.15
521,Elle Stokes,University of Louisville,14.15
522,Emily Safron,Boston College,14.10
523,Timea Guibe,Mississippi State University,14.08
524,Melanie Roy,College of William and Mary,14.04
525,Marta Burak,Youngstown State University,14.03
526,Lexi Aranda,"Southern Illinois, Edwardsville",14.01
527,Sierra Stone,Charlotte,13.94
528,Marijana Novakovic,Old Dominion University,13.89
529,Jessie Lynn Paul,University of Louisville,13.87
530,Naomi Tran,Mississippi State University,13.86
531,Jena Cheng,University of Utah,13.75
532,Maureen Slattery,University of Denver,13.72
